#STEP_FILE ! FILE_SIZE ! MOD_TIME

AP7381-50Y-13.stp ! 79354 ! 1718759138
XC7K325T-2FBG900I.stp ! 851447 ! 1712929184
FPF1320UCX.stp ! 28376 ! 1713155326
XC7K420T-3FFG1156E.stp ! 1093311 ! 1718715528
STM32F429ZIY6TR.stp ! 151056 ! 1712930120
7-5382486-2.stp ! 2619667 ! 1719639960
TPS627431YFPR.stp ! 30241 ! 1712929320
ABS07-32.768KHZ-T.stp ! 255262 ! 1712932646
ASP-134603-01.stp ! 34599655 ! 1712932496
5M240ZM100C5N.stp ! 282686 ! 1718768500
2-1761465-2.stp ! 2497006 ! 1719638554
219320-0001.stp ! 984986 ! 1717996264
AT24C128C-XHM-B.stp ! 434693 ! 1715577502
0805.step ! 57849 ! 1568106860
2199230-8.stp ! 2005861 ! 1719555064
95278-401A10LF.stp ! 282017 ! 1717999390
BC817-25W.stp ! 63463 ! 1718730432
95C06A3RAT.stp ! 39344 ! 1713158724
ADG719BRTZ-REEL.stp ! 344023 ! 1713158756
XPGDWT-Q1-0000-00XPP.stp ! 63727 ! 1718759108
